RovbaseID,Art,Totalt_antall,Aktivitetsdato_fra,Aktivitetsdato_til,latitude,longitude
R490641,Ulv,1,2015-05-02,2015-05-02,63.30243009484612,11.555845598331933
R498105,Bjørn,4,2016-07-05,2016-07-05,63.554592364863254,12.08140412426197
R505101,Jerv,4,2017-05-11,2017-05-11,63.388266472798655,12.015237689714612
R511519,Ulv,1,2018-03-27,2018-03-29,63.33208080231927,11.7443213739603
R511979,Bjørn,1,2018-04-15,2018-04-16,63.355374733292635,11.729781277872846
R512064,Bjørn,1,2018-04-09,2018-04-15,63.37545024706624,11.735544047054345
R512667,Bjørn,1,2018-06-16,2018-06-16,63.334174223395515,11.726293157310868
R512668,Bjørn,1,2018-06-24,2018-06-24,63.34430930003566,11.698702969453606
R512670,Bjørn,1,2018-07-08,2018-07-08,63.334174223395515,11.726293157310868
R512639,Bjørn,2,2018-07-16,2018-07-17,63.32380488143199,11.773452952043293
R512669,Bjørn,2,2018-07-22,2018-07-22,63.371753299489654,11.7554199745385
R512671,Bjørn,1,2018-07-29,2018-07-29,63.345771007665654,11.819104024216518
R512691,Bjørn,1,2018-08-03,2018-08-03,63.323799868246915,11.770456105480548
R519997,Bjørn,1,2019-04-18,2019-04-18,63.35298245218437,11.846109641607793
R520046,Ulv,1,2019-04-20,2019-04-21,63.615359955960294,11.902930902423817
R520977,Bjørn,1,2019-09-22,2019-09-22,63.45316173390013,11.769342701639717
R521051,Bjørn,1,2019-10-07,2019-10-07,63.36527889262152,11.83065293883607
R522591,Gaupe,2,2019-12-05,2019-12-06,63.37850727236408,11.7133533644447
R523405,Gaupe,2,2020-01-08,2020-01-10,63.38245203413127,11.715344910504566
R526110,Gaupe,4,2020-03-18,2020-03-18,63.44426766684704,11.64837566624944
R526266,Gaupe,5,2020-03-21,2020-03-21,63.43586895804584,11.713797089501968
R526949,Ulv,1,2020-04-21,2020-04-21,63.292326224803034,11.554517301151101
R527534,Bjørn,1,2020-05-19,2020-05-20,63.43016945663606,11.90801496229076
R529453,Ulv,1,2020-11-27,2020-11-28,63.58989139081496,11.840155752662147
R532579,Gaupe,2,2021-02-07,2021-02-07,63.40427151285313,11.727395973928727
R535148,Ulv,3,2021-04-03,2021-04-03,63.53700690979553,11.843296711697235
R537002,Gaupe,3,2021-10-22,2021-10-23,63.44602594168438,11.560162896255267
R537799,Gaupe,3,2021-12-01,2021-12-02,63.444543405101456,11.597689904560566
R539035,Ulv,1,2021-12-31,2022-01-01,63.36405292745778,11.693934093744552
R539035,Ulv,1,2021-12-31,2022-01-01,63.36405292745778,11.693934093744552
R542141,Ulv,1,2022-02-26,2022-02-26,63.546241140413066,11.882690380585888
R543147,Ulv,1,2022-03-29,2022-03-29,63.38188190123044,11.815426034468844
R543658,Ulv,1,2022-04-15,2022-04-16,63.38847227332162,12.062394501656074
